NCT,Author,Year_x,PMID_x,Primary endpoint,primary_endpoint_standardized,Authors,Year_y,PMID_y
NCT02852083,Heudobler D et al,2021,33796020,PFS,PFS,Heudobler D et al,2021,33796020
NCT01903993,Fehrenbacher L et al,2016,26970723,PFS,PFS,Fehrenbacher L et al,2016,26970723
NCT01903993,Fehrenbacher L et al,2016,26970723,PFS,PFS,Mazieres J et al,2020,33166718
NCT00527735,Lynch TJ et al (1),2012,22547592,PFS,PFS,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592,PFS,PFS,Lynch TJ et al (1),2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592,PFS,PFS,Reck M et al,2012,22858559
NCT00527735,Lynch TJ et al (1),2012,22547592,PFS,PFS,Reck M et al (1),2012,22858559
NCT00527735,Lynch TJ et al,2012,22547592,PFS,PFS,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al,2012,22547592,PFS,PFS,Lynch TJ et al (1),2012,22547592
NCT00527735,Lynch TJ et al,2012,22547592,PFS,PFS,Reck M et al,2012,22858559
NCT00527735,Lynch TJ et al,2012,22547592,PFS,PFS,Reck M et al (1),2012,22858559
NCT00527735,Reck M et al (1),2012,22858559,,Other,Lynch TJ et al,2012,22547592
NCT00527735,Reck M et al (1),2012,22858559,,Other,Lynch TJ et al (1),2012,22547592
NCT00527735,Reck M et al (1),2012,22858559,,Other,Reck M et al,2012,22858559
NCT00527735,Reck M et al (1),2012,22858559,,Other,Reck M et al (1),2012,22858559
NCT00527735,Reck M et al,2012,22858559,,Other,Lynch TJ et al,2012,22547592
NCT00527735,Reck M et al,2012,22858559,,Other,Lynch TJ et al (1),2012,22547592
NCT00527735,Reck M et al,2012,22858559,,Other,Reck M et al,2012,22858559
NCT00527735,Reck M et al,2012,22858559,,Other,Reck M et al (1),2012,22858559
NCT01905657,Herbst RS et al (1),2016,26712084,OS+PFS,Other,Herbst RS et al,2016,26712084
NCT01905657,Herbst RS et al (1),2016,26712084,OS+PFS,Other,Herbst RS et al (1),2016,26712084
NCT01905657,Herbst RS et al,2016,26712084,OS+PFS,Other,Herbst RS et al,2016,26712084
NCT01905657,Herbst RS et al,2016,26712084,OS+PFS,Other,Herbst RS et al (1),2016,26712084
NCT02574598,Arrieta O et al,2020,32271354,ORR,ORR,Arrieta O et al,2020,32271354
NCT03059667,Pujol JL et al,2019,30664989,ORR,ORR,Pujol JL et al,2019,30664989
NCT02039674,Borghaei  H et al,2018,30138764,ORR,ORR,Langer JC et al,2016,27745820
NCT02039674,Borghaei  H et al,2018,30138764,ORR,ORR,Borghaei  H et al,2018,30138764
NCT02039674,Langer JC et al,2016,27745820,ORR,ORR,Langer JC et al,2016,27745820
NCT02039674,Langer JC et al,2016,27745820,ORR,ORR,Borghaei  H et al,2018,30138764
NCT01903993,Mazieres J et al,2020,33166718,OS,OS,Fehrenbacher L et al,2016,26970723
NCT01903993,Mazieres J et al,2020,33166718,OS,OS,Mazieres J et al,2020,33166718
