NCT,Author,Year_x,PMID_x,Name of ICI,ICI Class,Authors,Year_y,PMID_y
NCT02500121,Galsky MD et al,2020,32271672,Pembrolizumab,PD-1,Galsky MD et al,2020,32271672
NCT02450331,Bellmunt J et al,2021,33721560,Atezolizumab,PD-L1,Bellmunt J et al,2021,33721560
NCT02807636,Galsky MD et al (1),2020,32416780,Atezolizumab,PD-L1,Galsky MD et al,2020,32416780
NCT02807636,Galsky MD et al (1),2020,32416780,Atezolizumab,PD-L1,Galsky MD et al (1),2020,32416780
NCT02807636,Galsky MD et al,2020,32416780,Atezolizumab,PD-L1,Galsky MD et al,2020,32416780
NCT02807636,Galsky MD et al,2020,32416780,Atezolizumab,PD-L1,Galsky MD et al (1),2020,32416780
NCT02516241,Powles T et al,2020,32971005,Durvalumab,PD-L1,Powles T et al,2020,32971005
NCT02516241,Powles T et al,2020,32971005,Durvalumab,PD-L1,Powles T et al (1),2020,32971005
NCT02516241,Powles T et al (1),2020,32971005,"Durvalumab, Tremelimumab","PD-1, CTLA-4",Powles T et al,2020,32971005
NCT02516241,Powles T et al (1),2020,32971005,"Durvalumab, Tremelimumab","PD-1, CTLA-4",Powles T et al (1),2020,32971005
NCT02603432,Powles T et al,2020,32945632,Avelumab,PD-L1,Powles T et al,2020,32945632
