NCT,Author,Year_x,PMID_x,Control arm,control_arm_class,Authors,Year_y,PMID_y
NCT01721772,Robert C et al,2020,32997575,Chemo,Active,Robert C et al,2015,25399552
NCT01721772,Robert C et al,2020,32997575,Chemo,Active,Ascierto PA et al,2019,30422243
NCT01721772,Robert C et al,2020,32997575,Chemo,Active,Robert C et al,2020,32997575
NCT01721772,Ascierto PA et al,2019,30422243,Chemo,Active,Robert C et al,2015,25399552
NCT01721772,Ascierto PA et al,2019,30422243,Chemo,Active,Ascierto PA et al,2019,30422243
NCT01721772,Ascierto PA et al,2019,30422243,Chemo,Active,Robert C et al,2020,32997575
NCT01721772,Robert C et al,2015,25399552,Chemo,Active,Robert C et al,2015,25399552
NCT01721772,Robert C et al,2015,25399552,Chemo,Active,Ascierto PA et al,2019,30422243
NCT01721772,Robert C et al,2015,25399552,Chemo,Active,Robert C et al,2020,32997575
NCT01721746,Larkin J et al,2018,28671856,Chemo,Active,Weber JS et al,2015,25795410
NCT01721746,Larkin J et al,2018,28671856,Chemo,Active,Larkin J et al,2018,28671856
NCT01721746,Weber JS et al,2015,25795410,Chemo,Active,Weber JS et al,2015,25795410
NCT01721746,Weber JS et al,2015,25795410,Chemo,Active,Larkin J et al,2018,28671856
NCT00257205,Ribas A et al,2013,23295794,Chemo,Active,Ribas A et al,2013,23295794
NCT00324155,Robert C et al,2011,21639810,Chemo,Active,Robert C et al,2011,21639810
NCT00094653,McDermott D et al (1),2013,23942774,Vaccine,Active,Hodi FS et al,2010,20525992
NCT00094653,McDermott D et al (1),2013,23942774,Vaccine,Active,Hodi FS et al (1),2010,20525992
NCT00094653,McDermott D et al (1),2013,23942774,Vaccine,Active,McDermott D et al,2013,23942774
NCT00094653,McDermott D et al (1),2013,23942774,Vaccine,Active,McDermott D et al (1),2013,23942774
NCT00094653,McDermott D et al,2013,23942774,Vaccine,Active,Hodi FS et al,2010,20525992
NCT00094653,McDermott D et al,2013,23942774,Vaccine,Active,Hodi FS et al (1),2010,20525992
NCT00094653,McDermott D et al,2013,23942774,Vaccine,Active,McDermott D et al,2013,23942774
NCT00094653,McDermott D et al,2013,23942774,Vaccine,Active,McDermott D et al (1),2013,23942774
NCT00094653,Hodi FS et al (1),2010,20525992,Vaccine,Active,Hodi FS et al,2010,20525992
NCT00094653,Hodi FS et al (1),2010,20525992,Vaccine,Active,Hodi FS et al (1),2010,20525992
NCT00094653,Hodi FS et al (1),2010,20525992,Vaccine,Active,McDermott D et al,2013,23942774
NCT00094653,Hodi FS et al (1),2010,20525992,Vaccine,Active,McDermott D et al (1),2013,23942774
NCT00094653,Hodi FS et al,2010,20525992,Vaccine,Active,Hodi FS et al,2010,20525992
NCT00094653,Hodi FS et al,2010,20525992,Vaccine,Active,Hodi FS et al (1),2010,20525992
NCT00094653,Hodi FS et al,2010,20525992,Vaccine,Active,McDermott D et al,2013,23942774
NCT00094653,Hodi FS et al,2010,20525992,Vaccine,Active,McDermott D et al (1),2013,23942774
NCT00636168,Eggermont AMM et al,2015,25840693,Placebo,Placebo,Eggermont AMM et al,2016,27717298
NCT00636168,Eggermont AMM et al,2015,25840693,Placebo,Placebo,Eggermont AMM et al,2015,25840693
NCT02362594,Eggermont AMM et al,2020,32946353,Placebo,Placebo,Eggermont AMM et al,2018,29658430
NCT02362594,Eggermont AMM et al,2020,32946353,Placebo,Placebo,Eggermont AMM et al,2020,32946353
NCT00636168,Eggermont AMM et al,2016,27717298,Placebo,Placebo,Eggermont AMM et al,2016,27717298
NCT00636168,Eggermont AMM et al,2016,27717298,Placebo,Placebo,Eggermont AMM et al,2015,25840693
NCT02362594,Eggermont AMM et al,2018,29658430,Placebo,Placebo,Eggermont AMM et al,2018,29658430
NCT02362594,Eggermont AMM et al,2018,29658430,Placebo,Placebo,Eggermont AMM et al,2020,32946353
NCT01274338,Tarhini AA et al (1),2020,31880964,Interferon,Active,Tarhini AA et al,2020,31880964
NCT01274338,Tarhini AA et al (1),2020,31880964,Interferon,Active,Tarhini AA et al (1),2020,31880964
NCT01274338,Tarhini AA et al,2020,31880964,Interferon,Active,Tarhini AA et al,2020,31880964
NCT01274338,Tarhini AA et al,2020,31880964,Interferon,Active,Tarhini AA et al (1),2020,31880964
NCT02908672,Gutzmer R et al,2020,32534646,BRAFi+MEKi,Active,Gutzmer R et al,2020,32534646
