NCT,Author,Year_x,PMID_x,Secondary endpoint,irAEs_assessed,Authors,Year_y,PMID_y
NCT02425891,Schmid P et al,2019,31786121,"investigator-assessed RECIST v1.1 ORR,  DoR",NO,Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2019,31786121,"investigator-assessed RECIST v1.1 ORR,  DoR",NO,Schmid P et al,2019,31786121
NCT02425891,Schmid P et al,2018,30345906,"investigator-assessed RECIST v1.1 ORR,  DoR",NO,Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2018,30345906,"investigator-assessed RECIST v1.1 ORR,  DoR",NO,Schmid P et al,2019,31786121
NCT02685059,Loibl S et al,2019,31095287,"response rate by other path CR definitions (ypT0/is ypN0, ypT0/is ypN0/þ, and ypN0) and by clinical and imaging assessment; rate of breast conserving surgery and axilla lymph node dissection; efficacy in predefined subgroups according to centrally assessed sTILs [low ( 10%), intermediate (11%–59%), high ( 60%)]",NO,Loibl S et al,2019,31095287
NCT01042379,Nanda R et al,2019,32053137,residual cancer burden (RCB) and 3-year event-free and distant recurrence-free survival.,NO,Nanda R et al,2019,32053137
NCT03036488,Schmid P et al,2020,32101663,"pathological complete response, a pathological complete response according to all definitions in patients with PD-L1–positive tumors, eventfree survival among patients with PD-L1–positive tumors, and OS among all patients and patients with PD-L1–positive tumors.",NO,Schmid P et al,2020,32101663
NCT03051659,Tolaney SM et al,2020,32880602,"PFS per irRECIST, ORR, OS, DoR, clinical benefit rate, safety, tolerability",NO,Tolaney SM et al,2020,32880602
NCT02819518,Cortes J et al,2020,33278935,"ORR, DoR, DCR",NO,Cortes J et al,2020,33278935
NCT03197935,Mittendorf EA et al,2020,32966830,"OS, Event free survival , disease free survival",NO,Mittendorf EA et al,2020,32966830
NCT02924883,Emens LA et al,2020,33002436,"OS, ORR, DOR",NO,Emens LA et al,2020,33002436
NCT02299999,Bachelot T et al,2021,33462450,OS,"Since the text provided is simply ""OS"", there is no information to determine if immune-related adverse events (irAEs) were explicitly assessed.

Therefore, the answer is NO.",Bachelot T et al,2021,33462450
NCT02555657,Winer PE et al,2021,33676601,PFS; ORR; DCR; DoR; safety,NO,Winer PE et al,2021,33676601
