NCT,Author,Year_x,PMID_x,Name of ICI,ICI Class,Authors,Year_y,PMID_y
NCT01285609,Govindan R et al,2017,28854067,Ipilimumab,CTLA-4,Govindan R et al,2017,28854067
NCT00527735,Lynch TJ et al (1),2012,22547592,Ipilimumab,CTLA-4,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592,Ipilimumab,CTLA-4,Lynch TJ et al (1),2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592,Ipilimumab,CTLA-4,Reck M et al,2012,22858559
NCT00527735,Lynch TJ et al (1),2012,22547592,Ipilimumab,CTLA-4,Reck M et al (1),2012,22858559
NCT00527735,Lynch TJ et al,2012,22547592,Ipilimumab,CTLA-4,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al,2012,22547592,Ipilimumab,CTLA-4,Lynch TJ et al (1),2012,22547592
NCT00527735,Lynch TJ et al,2012,22547592,Ipilimumab,CTLA-4,Reck M et al,2012,22858559
NCT00527735,Lynch TJ et al,2012,22547592,Ipilimumab,CTLA-4,Reck M et al (1),2012,22858559
NCT02852083,Heudobler D et al,2021,33796020,Nivolumab,PD-1,Heudobler D et al,2021,33796020
NCT02613507,Wu YL et al,2019,30659987,Nivolumab,PD-1,Wu YL et al,2019,30659987
NCT02477826,Hellmann MD et al (2),2019,31562796,Nivolumab,PD-1,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,Nivolumab,PD-1,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,Nivolumab,PD-1,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,Nivolumab,PD-1,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,Nivolumab,PD-1,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Nivolumab,PD-1,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,Nivolumab,PD-1,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2019,31562796,Nivolumab,PD-1,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Nivolumab,PD-1,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796,Nivolumab,PD-1,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Nivolumab,PD-1,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,Nivolumab,PD-1,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845,Nivolumab,PD-1,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Nivolumab,PD-1,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (1),2018,29658845,Nivolumab,PD-1,Hellmann MD et al (2),2019,31562796
NCT02041533,Carbone DP et al,2017,28636851,Nivolumab,PD-1,Carbone DP et al,2017,28636851
NCT01642004,Brahmer J et al,2015,26028407,Nivolumab,PD-1,Brahmer J et al,2015,26028407
NCT01673867,Borghaei  H et al,2015,26412456,Nivolumab,PD-1,Borghaei  H et al,2015,26412456
NCT02142738,Reck M et al,2016,27718847,Pembrolizumab,PD-1,Reck M et al,2019,30620668
NCT02142738,Reck M et al,2016,27718847,Pembrolizumab,PD-1,Reck M et al,2016,27718847
NCT02574598,Arrieta O et al,2020,32271354,Pembrolizumab,PD-1,Arrieta O et al,2020,32271354
NCT02142738,Reck M et al,2019,30620668,Pembrolizumab,PD-1,Reck M et al,2019,30620668
NCT02142738,Reck M et al,2019,30620668,Pembrolizumab,PD-1,Reck M et al,2016,27718847
NCT02220894,Mok TSK et al,2019,30955977,Pembrolizumab,PD-1,Mok TSK et al,2019,30955977
NCT02775435,Paz-Ares L et al,2018,30280635,Pembrolizumab,PD-1,Paz-Ares L et al,2018,30280635
NCT02578680,Gandhi L et al,2018,29658856,Pembrolizumab,PD-1,Gandhi L et al,2018,29658856
NCT02039674,Borghaei  H et al,2018,30138764,Pembrolizumab,PD-1,Langer JC et al,2016,27745820
NCT02039674,Borghaei  H et al,2018,30138764,Pembrolizumab,PD-1,Borghaei  H et al,2018,30138764
NCT02039674,Langer JC et al,2016,27745820,Pembrolizumab,PD-1,Langer JC et al,2016,27745820
NCT02039674,Langer JC et al,2016,27745820,Pembrolizumab,PD-1,Borghaei  H et al,2018,30138764
NCT01905657,Herbst RS et al (1),2016,26712084,Pembrolizumab,PD-1,Herbst RS et al,2016,26712084
NCT01905657,Herbst RS et al (1),2016,26712084,Pembrolizumab,PD-1,Herbst RS et al (1),2016,26712084
NCT01905657,Herbst RS et al,2016,26712084,Pembrolizumab,PD-1,Herbst RS et al,2016,26712084
NCT01905657,Herbst RS et al,2016,26712084,Pembrolizumab,PD-1,Herbst RS et al (1),2016,26712084
NCT02008227,Mazieres J et al,2020,33166718,Atezolizumab,PD-L1,Rittmeyer A et al,2017,27979383
NCT02008227,Mazieres J et al,2020,33166718,Atezolizumab,PD-L1,Fehrenbacher L et al,2018,29777823
NCT02008227,Mazieres J et al,2020,33166718,Atezolizumab,PD-L1,Mazieres J et al,2020,33166718
NCT01903993,Mazieres J et al,2020,33166718,Atezolizumab,PD-L1,Fehrenbacher L et al,2016,26970723
NCT01903993,Mazieres J et al,2020,33166718,Atezolizumab,PD-L1,Mazieres J et al,2020,33166718
NCT02409342,Herbst RS et al.,2020,32997907,Atezolizumab,PD-L1,Herbst RS et al.,2020,32997907
NCT02367794,Jotte R et al (1),2020,32302702,Atezolizumab,PD-L1,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al (1),2020,32302702,Atezolizumab,PD-L1,Jotte R et al (1),2020,32302702
NCT02367794,Jotte R et al,2020,32302702,Atezolizumab,PD-L1,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al,2020,32302702,Atezolizumab,PD-L1,Jotte R et al (1),2020,32302702
NCT02367781,West H et al,2019,31122901,Atezolizumab,PD-L1,West H et al,2019,31122901
NCT02366143,Socinski MA et al (1),2018,29863955,Atezolizumab,PD-L1,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955,Atezolizumab,PD-L1,Socinski MA et al (1),2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,Atezolizumab,PD-L1,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,Atezolizumab,PD-L1,Socinski MA et al (1),2018,29863955
NCT02008227,Fehrenbacher L et al,2018,29777823,Atezolizumab,PD-L1,Rittmeyer A et al,2017,27979383
NCT02008227,Fehrenbacher L et al,2018,29777823,Atezolizumab,PD-L1,Fehrenbacher L et al,2018,29777823
NCT02008227,Fehrenbacher L et al,2018,29777823,Atezolizumab,PD-L1,Mazieres J et al,2020,33166718
NCT02008227,Rittmeyer A et al,2017,27979383,Atezolizumab,PD-L1,Rittmeyer A et al,2017,27979383
NCT02008227,Rittmeyer A et al,2017,27979383,Atezolizumab,PD-L1,Fehrenbacher L et al,2018,29777823
NCT02008227,Rittmeyer A et al,2017,27979383,Atezolizumab,PD-L1,Mazieres J et al,2020,33166718
NCT02395172,Barlesi F et al,2018,30262187,Atezolizumab,PD-L1,Barlesi F et al,2018,30262187
NCT01903993,Fehrenbacher L et al,2016,26970723,Atezolizumab,PD-L1,Fehrenbacher L et al,2016,26970723
NCT01903993,Fehrenbacher L et al,2016,26970723,Atezolizumab,PD-L1,Mazieres J et al,2020,33166718
