NCT,Author,Year_x,PMID_x,Type of combination,combination_type_normalized,Authors,Year_y,PMID_y
NCT01984242,McDermott DF et al (1),2018,29867230,ICI+Chemo,ICI+Chemo,McDermott DF et al,2018,29867230
NCT01984242,McDermott DF et al (1),2018,29867230,ICI+Chemo,ICI+Chemo,McDermott DF et al (1),2018,29867230
NCT02231749,Motzer RJ et al,2020,32661118,ICI+ICI,ICI+ICI,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2020,32661118,ICI+ICI,ICI+ICI,Motzer RJ et al,2019,31427204
NCT02231749,Motzer RJ et al,2020,32661118,ICI+ICI,ICI+ICI,Motzer RJ et al,2020,32661118
NCT02231749,Motzer RJ et al,2019,31427204,ICI+ICI,ICI+ICI,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2019,31427204,ICI+ICI,ICI+ICI,Motzer RJ et al,2019,31427204
NCT02231749,Motzer RJ et al,2019,31427204,ICI+ICI,ICI+ICI,Motzer RJ et al,2020,32661118
NCT02231749,Motzer RJ et al,2018,29562145,ICI+ICI,ICI+ICI,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2018,29562145,ICI+ICI,ICI+ICI,Motzer RJ et al,2019,31427204
NCT02231749,Motzer RJ et al,2018,29562145,ICI+ICI,ICI+ICI,Motzer RJ et al,2020,32661118
NCT03141177,Choueiri TK et al,2021,33657295,ICI+TKI,ICI+TKI,Choueiri TK et al,2021,33657295
NCT02811861,Motzer R et al,2021,33616314,ICI+TKI,ICI+TKI,Motzer R et al,2021,33616314
NCT02853331,Powles T et al. ,2020,33284113,ICI+TKI,ICI+TKI,Rini BI et al,2019,30779529
NCT02853331,Powles T et al. ,2020,33284113,ICI+TKI,ICI+TKI,Powles T et al. ,2020,33284113
NCT02684006,Choueiri TK et al,2020,32339648,ICI+TKI,ICI+TKI,Motzer RJ et al,2019,30779531
NCT02684006,Choueiri TK et al,2020,32339648,ICI+TKI,ICI+TKI,Choueiri TK et al,2020,32339648
NCT02853331,Rini BI et al,2019,30779529,ICI+TKI,ICI+TKI,Rini BI et al,2019,30779529
NCT02853331,Rini BI et al,2019,30779529,ICI+TKI,ICI+TKI,Powles T et al. ,2020,33284113
NCT02684006,Motzer RJ et al,2019,30779531,ICI+TKI,ICI+TKI,Motzer RJ et al,2019,30779531
NCT02684006,Motzer RJ et al,2019,30779531,ICI+TKI,ICI+TKI,Choueiri TK et al,2020,32339648
NCT02420821,Rini BI et al,2019,31079938,ICI+Anti-VEGF,ICI+Anti-VEGF,Rini BI et al,2019,31079938
