NCT,Author,Year_x,PMID_x,Control arm,control_arm_class,Authors,Year_y,PMID_y
NCT02105636,Ferris RL et al,2018,29884413,Chemo/Anti-EGFR,Active,Ferris RL et al,2016,27718784
NCT02105636,Ferris RL et al,2018,29884413,Chemo/Anti-EGFR,Active,Ferris RL et al,2018,29884413
NCT02105636,Ferris RL et al,2016,27718784,Chemo/Anti-EGFR,Active,Ferris RL et al,2016,27718784
NCT02105636,Ferris RL et al,2016,27718784,Chemo/Anti-EGFR,Active,Ferris RL et al,2018,29884413
NCT02252042,Cohen EEW et al,2018,30509740,Chemo/Anti-EGFR,Active,Cohen EEW et al,2018,30509740
NCT02369874,Ferris RL et al (1),2020,32294530,Chemo+Anti-EGFR,Active,Ferris RL et al,2020,32294530
NCT02369874,Ferris RL et al (1),2020,32294530,Chemo+Anti-EGFR,Active,Ferris RL et al (1),2020,32294530
NCT02369874,Ferris RL et al,2020,32294530,Chemo+Anti-EGFR,Active,Ferris RL et al,2020,32294530
NCT02369874,Ferris RL et al,2020,32294530,Chemo+Anti-EGFR,Active,Ferris RL et al (1),2020,32294530
NCT02358031,Burtness B et al (1),2019,31679945,Chemo+Anti-EGFR,Active,Burtness B et al,2019,31679945
NCT02358031,Burtness B et al (1),2019,31679945,Chemo+Anti-EGFR,Active,Burtness B et al (1),2019,31679945
NCT02358031,Burtness B et al,2019,31679945,Chemo+Anti-EGFR,Active,Burtness B et al,2019,31679945
NCT02358031,Burtness B et al,2019,31679945,Chemo+Anti-EGFR,Active,Burtness B et al (1),2019,31679945
NCT02017717,Reardon DA et al,2020,32437507,Anti-VEGF,Active,Reardon DA et al,2020,32437507
NCT02952586,Lee NY et al,2021,33794205,Chemoradio,Active,Lee NY et al,2021,33794205
NCT02999087,Tao Y et al.,2021,33125944,Chemo/Anti-EGFR+Radiotherapy,Active,Tao Y et al.,2021,33125944
