NCT,Author,Year_x,PMID_x,Treatment regimen,Additional Agents,Authors,Year_y,PMID_y
NCT02425891,Schmid P et al,2019,31786121,Atezolizumab+Nab-paclitaxel,Nab-paclitaxel,Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2019,31786121,Atezolizumab+Nab-paclitaxel,Nab-paclitaxel,Schmid P et al,2019,31786121
NCT02425891,Schmid P et al,2018,30345906,Atezolizumab+Nab-paclitaxel,Nab-paclitaxel,Schmid P et al,2018,30345906
NCT02425891,Schmid P et al,2018,30345906,Atezolizumab+Nab-paclitaxel,Nab-paclitaxel,Schmid P et al,2019,31786121
NCT02788279,Eng C et al,2019,31003911,Atezolizumab+Cobimetinib,Cobimetinib,Eng C et al,2019,31003911
NCT02788279,Eng C et al,2019,31003911,Atezolizumab+Cobimetinib,Cobimetinib,Eng C et al (1),2019,31003911
NCT03434379,Finn RS et al,2020,32402160,Atezolizumab+Bevacizumab,Bevacizumab,Finn RS et al,2020,32402160
NCT02420821,Rini BI et al,2019,31079938,Atezolizumab+Bevacizumab,Bevacizumab,Rini BI et al,2019,31079938
NCT01984242,McDermott DF et al (1),2018,29867230,Atezolizumab+Bevacizumab,Bevacizumab,McDermott DF et al,2018,29867230
NCT01984242,McDermott DF et al (1),2018,29867230,Atezolizumab+Bevacizumab,Bevacizumab,McDermott DF et al (1),2018,29867230
NCT02763579,Horn L et al,2018,30280641,Atezolizumab+Etoposide+Carboplatin,Etoposide+Carboplatin,Horn L et al,2018,30280641
NCT02763579,Horn L et al,2018,30280641,Atezolizumab+Etoposide+Carboplatin,Etoposide+Carboplatin,Mansfield AS et al,2020,31959349
NCT02367794,Jotte R et al,2020,32302702,Atezolizumab+Carboplatin+Paclitaxel,Carboplatin+Paclitaxel,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al,2020,32302702,Atezolizumab+Carboplatin+Paclitaxel,Carboplatin+Paclitaxel,Jotte R et al (1),2020,32302702
NCT02366143,Socinski MA et al,2018,29863955,Atezolizumab+Carboplatin+Paclitaxel,Carboplatin+Paclitaxel,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,Atezolizumab+Carboplatin+Paclitaxel,Carboplatin+Paclitaxel,Socinski MA et al (1),2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Carboplatin+Paclitaxel+Bevacizumab,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Carboplatin+Paclitaxel+Bevacizumab,Socinski MA et al (1),2018,29863955
NCT02367794,Jotte R et al (1),2020,32302702,Atezolizumab+Carboplatin+Nab-paclitaxel,Carboplatin+Nab-paclitaxel,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al (1),2020,32302702,Atezolizumab+Carboplatin+Nab-paclitaxel,Carboplatin+Nab-paclitaxel,Jotte R et al (1),2020,32302702
NCT02367781,West H et al,2019,31122901,Atezolizumab+Carboplatin+Nab-paclitaxel,Carboplatin+Nab-paclitaxel,West H et al,2019,31122901
NCT02763579,Mansfield AS et al,2020,31959349,Atezolizumab+Carboplatin+Etoposide,Carboplatin+Etoposide,Horn L et al,2018,30280641
NCT02763579,Mansfield AS et al,2020,31959349,Atezolizumab+Carboplatin+Etoposide,Carboplatin+Etoposide,Mansfield AS et al,2020,31959349
NCT02908672,Gutzmer R et al,2020,32534646,Atezolizumab+Vemurafenib+Cobimetinib,Vemurafenib+Cobimetinib,Gutzmer R et al,2020,32534646
NCT02807636,Galsky MD et al,2020,32416780,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,"Gemcitabine, Carboplatin, Cisplatin",Galsky MD et al,2020,32416780
NCT02807636,Galsky MD et al,2020,32416780,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,"Gemcitabine, Carboplatin, Cisplatin",Galsky MD et al (1),2020,32416780
NCT03197935,Mittendorf EA et al,2020,32966830,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,"Nab-paclitaxel, Doxorubicin, Cyclophosphamide, Filgrastim/Pegfilgrastim",Mittendorf EA et al,2020,32966830
NCT02657434,Nishio M et al,2020,33333328,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,"Carboplatin/Cisplatin, Pemetrexed",Nishio M et al,2020,33333328
