NCT,Author,Year_x,PMID_x,Type of combination,combination_type_normalized,Authors,Year_y,PMID_y
NCT02574598,Arrieta O et al,2020,32271354,ICI+Chemo,ICI+Chemo,Arrieta O et al,2020,32271354
NCT02367794,Jotte R et al (1),2020,32302702,ICI+Chemo,ICI+Chemo,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al (1),2020,32302702,ICI+Chemo,ICI+Chemo,Jotte R et al (1),2020,32302702
NCT02367794,Jotte R et al,2020,32302702,ICI+Chemo,ICI+Chemo,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al,2020,32302702,ICI+Chemo,ICI+Chemo,Jotte R et al (1),2020,32302702
NCT02367781,West H et al,2019,31122901,ICI+Chemo,ICI+Chemo,West H et al,2019,31122901
NCT02477826,Hellmann MD et al (2),2019,31562796,ICI+Chemo,ICI+Chemo,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,ICI+Chemo,ICI+Chemo,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,ICI+Chemo,ICI+Chemo,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,ICI+Chemo,ICI+Chemo,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796,ICI+Chemo,ICI+Chemo,Hellmann MD et al (2),2019,31562796
NCT02366143,Socinski MA et al,2018,29863955,ICI+Chemo,ICI+Chemo,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al,2018,29863955,ICI+Chemo,ICI+Chemo,Socinski MA et al (1),2018,29863955
NCT02775435,Paz-Ares L et al,2018,30280635,ICI+Chemo,ICI+Chemo,Paz-Ares L et al,2018,30280635
NCT02578680,Gandhi L et al,2018,29658856,ICI+Chemo,ICI+Chemo,Gandhi L et al,2018,29658856
NCT02039674,Borghaei  H et al,2018,30138764,ICI+Chemo,ICI+Chemo,Langer JC et al,2016,27745820
NCT02039674,Borghaei  H et al,2018,30138764,ICI+Chemo,ICI+Chemo,Borghaei  H et al,2018,30138764
NCT02039674,Langer JC et al,2016,27745820,ICI+Chemo,ICI+Chemo,Langer JC et al,2016,27745820
NCT02039674,Langer JC et al,2016,27745820,ICI+Chemo,ICI+Chemo,Borghaei  H et al,2018,30138764
NCT01285609,Govindan R et al,2017,28854067,ICI+Chemo,ICI+Chemo,Govindan R et al,2017,28854067
NCT00527735,Lynch TJ et al (1),2012,22547592,ICI+Chemo,ICI+Chemo,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592,ICI+Chemo,ICI+Chemo,Lynch TJ et al (1),2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592,ICI+Chemo,ICI+Chemo,Reck M et al,2012,22858559
NCT00527735,Lynch TJ et al (1),2012,22547592,ICI+Chemo,ICI+Chemo,Reck M et al (1),2012,22858559
NCT00527735,Lynch TJ et al,2012,22547592,ICI+Chemo,ICI+Chemo,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al,2012,22547592,ICI+Chemo,ICI+Chemo,Lynch TJ et al (1),2012,22547592
NCT00527735,Lynch TJ et al,2012,22547592,ICI+Chemo,ICI+Chemo,Reck M et al,2012,22858559
NCT00527735,Lynch TJ et al,2012,22547592,ICI+Chemo,ICI+Chemo,Reck M et al (1),2012,22858559
NCT02366143,Socinski MA et al (1),2018,29863955,ICI+Chemo+Anti-VEGF,ICI+Chemo,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955,ICI+Chemo+Anti-VEGF,ICI+Chemo,Socinski MA et al (1),2018,29863955
NCT02453282,Rizvi NA et al (1),2020,32271377,ICI+ICI,ICI+ICI,Rizvi NA et al,2020,32271377
NCT02453282,Rizvi NA et al (1),2020,32271377,ICI+ICI,ICI+ICI,Rizvi NA et al (1),2020,32271377
NCT02352948,Planchard D et al (2),2020,32201234,ICI+ICI,ICI+ICI,Planchard D et al,2020,32201234
NCT02352948,Planchard D et al (2),2020,32201234,ICI+ICI,ICI+ICI,Planchard D et al (1),2020,32201234
NCT02352948,Planchard D et al (2),2020,32201234,ICI+ICI,ICI+ICI,Planchard D et al (2),2020,32201234
NCT02477826,Hellmann MD et al,2019,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2019,31562796,ICI+ICI,ICI+ICI,Hellmann MD et al (2),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2018,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al,2018,29658845,ICI+ICI,ICI+ICI,Hellmann MD et al (2),2019,31562796
NCT02454933,Yang JCH et al,2019,30763730,ICI+TKI,ICI+TKI,Yang JCH et al,2019,30763730
NCT03215706,Paz-Ares L et al,2021,33476593,ICI+ICI+Chemo,ICI+Chemo,Paz-Ares L et al,2021,33476593
