NCT,Author,Year_x,PMID_x,Treatment regimen,Additional Agents,Authors,Year_y,PMID_y
NCT02853331,Powles T et al. ,2020,33284113,Pembrolizumab+Axitinib,Axitinib,Rini BI et al,2019,30779529
NCT02853331,Powles T et al. ,2020,33284113,Pembrolizumab+Axitinib,Axitinib,Powles T et al. ,2020,33284113
NCT02853331,Rini BI et al,2019,30779529,Pembrolizumab+Axitinib,Axitinib,Rini BI et al,2019,30779529
NCT02853331,Rini BI et al,2019,30779529,Pembrolizumab+Axitinib,Axitinib,Powles T et al. ,2020,33284113
NCT02039674,Borghaei  H et al,2018,30138764,Pembrolizumab+Pemetrexed+Carboplatin,"Pemetrexed
Carboplatin",Langer JC et al,2016,27745820
NCT02039674,Borghaei  H et al,2018,30138764,Pembrolizumab+Pemetrexed+Carboplatin,"Pemetrexed
Carboplatin",Borghaei  H et al,2018,30138764
NCT02039674,Langer JC et al,2016,27745820,Pembrolizumab+Pemetrexed+Carboplatin,"Pemetrexed
Carboplatin",Langer JC et al,2016,27745820
NCT02039674,Langer JC et al,2016,27745820,Pembrolizumab+Pemetrexed+Carboplatin,"Pemetrexed
Carboplatin",Borghaei  H et al,2018,30138764
NCT02578680,Gandhi L et al,2018,29658856,Pembrolizumab+Platinum agent,Platinum agent,Gandhi L et al,2018,29658856
NCT02775435,Paz-Ares L et al,2018,30280635,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,"Carboplatin, Paclitaxel/nab-paclitaxel",Paz-Ares L et al,2018,30280635
NCT02130466,Ferrucci PF et al,2020,33361337,Pembrolizumab+Dabrafenib+Trametinib,"Dabrafenib, Trametinib",Ascierto PA et al,2019,31171878
NCT02130466,Ferrucci PF et al,2020,33361337,Pembrolizumab+Dabrafenib+Trametinib,"Dabrafenib, Trametinib",Ferrucci PF et al,2020,33361337
NCT02130466,Ascierto PA et al,2019,31171878,Pembrolizumab+Dabrafenib+Trametinib,"Dabrafenib, Trametinib",Ascierto PA et al,2019,31171878
NCT02130466,Ascierto PA et al,2019,31171878,Pembrolizumab+Dabrafenib+Trametinib,"Dabrafenib, Trametinib",Ferrucci PF et al,2020,33361337
NCT02576977,Mateos MV et al,2019,31327687,Pembrolizumab+Pomalidomide+Dexamethasone,"Pomalidomide, Dexamethasone",Mateos MV et al,2019,31327687
NCT02579863,Usmani SZ et al,2019,31327689,Pembrolizumab+Lenalidomide+Dexamethasone,"Lenalidomide, Dexamethasone",Usmani SZ et al,2019,31327689
NCT01042379,Nanda R et al,2019,32053137,Pembrolizumab+Paclitaxel,Paclitaxel,Nanda R et al,2019,32053137
NCT02358031,Burtness B et al (1),2019,31679945,Pembrolizumab+Platinum agent+5-Fluorouracil,"Platinum agent, 5-Fluorouracil",Burtness B et al,2019,31679945
NCT02358031,Burtness B et al (1),2019,31679945,Pembrolizumab+Platinum agent+5-Fluorouracil,"Platinum agent, 5-Fluorouracil",Burtness B et al (1),2019,31679945
NCT02362048,Overman M et al,2020,32114502,Pembrolizumab+Acalabrutinib,Acalabrutinib,Overman M et al,2020,32114502
NCT03036488,Schmid P et al,2020,32101663,Pembrolizumab+Paclitaxel+Carboplatin,Paclitaxel+Carboplatin,Schmid P et al,2020,32101663
NCT03066778,Rudin CM et al,2020,32468956,Pembrolizumab+Etoposide+Platinum agent,"Etoposide, Platinum agent",Rudin CM et al,2020,32468956
NCT02574598,Arrieta O et al,2020,32271354,Pembrolizumab+ Docetaxel,Docetaxel,Arrieta O et al,2020,32271354
NCT03051659,Tolaney SM et al,2020,32880602,Pembrolizumab+Eribulin,Eribulin,Tolaney SM et al,2020,32880602
NCT02494583,Shitara K et al (1),2020,32880601,Pembrolizumab+Cisplatin+5-FU+Capecitabine,"Cisplatin, 5-FU, Capecitabine",Shitara K et al,2020,32880601
NCT02494583,Shitara K et al (1),2020,32880601,Pembrolizumab+Cisplatin+5-FU+Capecitabine,"Cisplatin, 5-FU, Capecitabine",Shitara K et al (1),2020,32880601
NCT02819518,Cortes J et al,2020,33278935,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,"nab-paclitaxel, paclitaxel, gemcitabine, carboplatin",Cortes J et al,2020,33278935
NCT02811861,Motzer R et al,2021,33616314,Pembrolizumab+Lenvatinib,Lenvatinib,Motzer R et al,2021,33616314
