NCT,Authors,Year,PMID,ICI Class
NCT00527735,Reck M et al,2012,22858559,CTLA-4
NCT00527735,Reck M et al (1),2012,22858559,CTLA-4
NCT01450761,Reck M et al,2016,27458307,CTLA-4
NCT02763579,Horn L et al,2018,30280641,PD-L1
NCT03059667,Pujol JL et al,2019,30664989,PD-L1
NCT03043872,Paz-Ares L et al,2019,31590988,PD-L1
NCT03043872,Paz-Ares L et al (1),2019,31590988,Other
NCT02763579,Mansfield AS et al,2020,31959349,PD-L1
NCT03066778,Rudin CM et al,2020,32468956,Other
NCT03043872,Goldman JW et al,2020,33285097,Other
NCT03043872,Goldman JW et al (1),2020,33285097,PD-L1
NCT02481830,Spigel DR et al,2021,33539946,Other
NCT02538666,Owonikoko TK et al,2021,33683919,Other
NCT02538666,Owonikoko TK et al,2021,33683919,Other
