NCT,Authors,Year,PMID,Normalized Follow-up
NCT02425891,Schmid P et al,2018,30345906,Median
NCT02685059,Loibl S et al,2019,31095287,
NCT01042379,Nanda R et al,2019,32053137,Median
NCT02425891,Schmid P et al,2019,31786121,Median
NCT03036488,Schmid P et al,2020,32101663,Median
NCT03051659,Tolaney SM et al,2020,32880602,Median
NCT02819518,Cortes J et al,2020,33278935,Median
NCT03197935,Mittendorf EA et al,2020,32966830,Median
NCT02924883,Emens LA et al,2020,33002436,Median
NCT02299999,Bachelot T et al,2021,33462450,Median
NCT02555657,Winer PE et al,2021,33676601,Median
