NCT,Authors,Year,PMID,Year Group
NCT02302807,Powles T et al,2018,29268948,2015-2018
NCT02425891,Schmid P et al,2018,30345906,2015-2018
NCT02788279,Eng C et al,2019,31003911,>=2019
NCT02788279,Eng C et al (1),2019,31003911,>=2019
NCT01984242,McDermott DF et al,2018,29867230,2015-2018
NCT01984242,McDermott DF et al (1),2018,29867230,2015-2018
NCT02420821,Rini BI et al,2019,31079938,>=2019
NCT01903993,Fehrenbacher L et al,2016,26970723,2015-2018
NCT02395172,Barlesi F et al,2018,30262187,2015-2018
NCT02008227,Rittmeyer A et al,2017,27979383,2015-2018
NCT02008227,Fehrenbacher L et al,2018,29777823,2015-2018
NCT02763579,Horn L et al,2018,30280641,2015-2018
NCT02366143,Socinski MA et al,2018,29863955,2015-2018
NCT02366143,Socinski MA et al (1),2018,29863955,2015-2018
NCT03059667,Pujol JL et al,2019,30664989,>=2019
NCT02367781,West H et al,2019,31122901,>=2019
NCT02425891,Schmid P et al,2019,31786121,>=2019
NCT02763579,Mansfield AS et al,2020,31959349,>=2019
NCT02367794,Jotte R et al,2020,32302702,>=2019
NCT02367794,Jotte R et al (1),2020,32302702,>=2019
NCT02908672,Gutzmer R et al,2020,32534646,>=2019
NCT02807636,Galsky MD et al,2020,32416780,>=2019
NCT02807636,Galsky MD et al (1),2020,32416780,>=2019
NCT03434379,Finn RS et al,2020,32402160,>=2019
NCT03197935,Mittendorf EA et al,2020,32966830,>=2019
NCT02409342,Herbst RS et al.,2020,32997907,>=2019
NCT02657434,Nishio M et al,2020,33333328,>=2019
NCT01903993,Mazieres J et al,2020,33166718,>=2019
NCT02008227,Mazieres J et al,2020,33166718,>=2019
NCT02450331,Bellmunt J et al,2021,33721560,>=2019
