NCT,Authors,Year,PMID,Primary endpoint,Secondary endpoint,Endpoint Type
NCT00324155,Robert C et al,2011,21639810,OS,"PFS, best ORR, DCR, time to response, DOR, safety",Primary
NCT00094653,Hodi FS et al,2010,20525992,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,Primary
NCT00094653,Hodi FS et al (1),2010,20525992,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,Primary
NCT00257205,Ribas A et al,2013,23295794,OS,PFS; best overall response; duration of response; PFS at 6 months after random assignment; safety.,Primary
NCT02362594,Eggermont AMM et al,2018,29658430,PFS,Distant metastasis-free survival; OS; safety measures; measures of health-related quality of life.,Primary
NCT01704287,Ribas A et al,2015,26115796,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Primary
NCT01704287,Ribas A et al (1),2015,26115796,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,Primary
NCT01704287,Hamid O et al,2017,28961465,OS+PFS,ORR; response duration; safety.,Primary
NCT01704287,Hamid O et al (1),2017,28961465,OS+PFS,ORR; response duration; safety.,Primary
NCT00636168,Eggermont AMM et al,2016,27717298,PFS,OS; distant metastasis–free survival; safety; health-related quality of life.,Primary
NCT01721746,Weber JS et al,2015,25795410,OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,Primary
NCT01721746,Larkin J et al,2018,28671856,OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,Primary
NCT02130466,Ascierto PA et al,2019,31171878,PFS,ORR; duration of response; time to response; OS.,Primary
NCT01721772,Robert C et al,2015,25399552,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Primary
NCT01721772,Ascierto PA et al,2019,30422243,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Primary
NCT01274338,Tarhini AA et al,2020,31880964,OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",Primary
NCT01274338,Tarhini AA et al (1),2020,31880964,OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",Primary
NCT02523313,Zimmer L et al,2020,32416781,RFS,OS; time to recurrence; safety; PFS or RFS 2.,Primary
NCT02523313,Zimmer L et al (1),2020,32416781,RFS,OS; time to recurrence; safety; PFS or RFS 2.,Primary
NCT02908672,Gutzmer R et al,2020,32534646,PFS,PFS assessed by independent review committee; ORR; DOR; OS; time to deterioration in global health status and physical function.,Primary
NCT00094653,McDermott D et al,2013,23942774,OS,"DOS, responses, and safety among patients with ≥2 years’ survival.",Primary
NCT00094653,McDermott D et al (1),2013,23942774,OS,"DOS, responses, and safety among patients with ≥2 years’ survival.",Primary
NCT01721772,Robert C et al,2020,32997575,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,Primary
NCT02130466,Ferrucci PF et al,2020,33361337,PFS,ORR; duration of response; time to response; OS,Primary
NCT02362594,Eggermont AMM et al,2020,32946353,RFS,,Primary
NCT00636168,Eggermont AMM et al,2015,25840693,PFS,OS; distant metastasis–free survival; safety; health-related quality of life.,Primary
