NCT,Authors,Year,PMID,Control Arm Category
NCT01450761,Reck M et al,2016,27458307,active
NCT02763579,Horn L et al,2018,30280641,placebo
NCT03043872,Paz-Ares L et al,2019,31590988,active
NCT03043872,Paz-Ares L et al (1),2019,31590988,active
NCT02763579,Mansfield AS et al,2020,31959349,active
NCT03066778,Rudin CM et al,2020,32468956,active
NCT03043872,Goldman JW et al,2020,33285097,active
NCT03043872,Goldman JW et al (1),2020,33285097,active
NCT02481830,Spigel DR et al,2021,33539946,active
NCT02538666,Owonikoko TK et al,2021,33683919,placebo
NCT02538666,Owonikoko TK et al,2021,33683919,placebo
