NCT,PubMed ID,Trial name,Author,Year,Trial phase,Number of arms,Total sample size,Original publication or Follow-up,Cancer type,Treatment regimen,Name of ICI,Class of ICI,Monotherapy/combination,Type of combination,Control regimen,Control arm,Lines of treatment,Clinical setting in relation to surgery,Primary endpoint,"Primary Multiple, composite, or co-primary endpoints?",Secondary endpoint,Is PD-L1 positivity inclusion criteria,Is any other biomarker used for inclusion,Type of follow-up given,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Rx,Follow-up duration for primary endpoint(s) in months | Control,Type of therapy,Clinical setting
NCT02302807,29268948,IMvigor211,Powles T et al,2018,Phase 3,2,931,Original publication,Bladder,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Vinflunine+Paclitaxel+Docetaxel,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed RECIST v1.1 ORR, PFS, DoR",False,False,Median,17.3,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02425891,30345906,IMpassion130,Schmid P et al,2018,Phase 3,2,902,Original publication,Breast,Atezolizumab+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"investigator-assessed RECIST v1.1 ORR,  DoR",False,False,Median,12.9,13.0,12.5,Combination,Metastatic+recurrent (unresectable)
NCT02788279,31003911,IMblaze130,Eng C et al,2019,Phase 3,3,363,Original publication,Colorectal,Atezolizumab+Cobimetinib,Atezolizumab,PD-L1,Combination,ICI+MEKi,Regorafenib,Multikinase inhibitor,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed RECIST v1.1 ORR, PFS, DoR",False,False,Median,7.3,,,Combination,Metastatic+recurrent (unresectable)
NCT02788279,31003911,IMblaze130,Eng C et al (1),2019,Phase 3,3,363,Original publication,Colorectal,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Regorafenib,Multikinase inhibitor,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed RECIST v1.1 ORR, PFS, DoR",False,False,Median,7.3,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT01984242,29867230,IMmotion150,McDermott DF et al,2018,Phase 2,3,305,Original publication,Renal cell,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",False,False,Median,20.7,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT01984242,29867230,IMmotion150,McDermott DF et al (1),2018,Phase 2,3,305,Original publication,Renal cell,Atezolizumab+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Chemo,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",False,False,Median,20.7,,,Combination,Metastatic+recurrent (unresectable)
NCT02420821,31079938,IMmotion151,Rini BI et al,2019,Phase 3,2,915,Original publication,Renal cell,Atezolizumab+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Anti-VEGF,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety,False,False,Median,,,,Combination,Metastatic+recurrent (unresectable)
NCT01903993,26970723,POPLAR,Fehrenbacher L et al,2016,Phase 2,2,287,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"ORR, PFS, DOR,OR",True,False,Median,,14.8,15.7,Monotherapy,Metastatic+recurrent (unresectable)
NCT02395172,30262187,JAVELIN Lung 200,Barlesi F et al,2018,Phase 3,2,758,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, , BOR, PRO, Safety",False,False,Median,18.3,18.9,17.8,Monotherapy,Metastatic+recurrent (unresectable)
NCT02008227,27979383,OAK,Rittmeyer A et al,2017,Phase 3,2,1225,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DoR",False,True,Median,21.0,,,Monotherapy,Metastatic+recurrent (unresectable)
