NCT,PubMed ID,Author,Year,Cancer type,Type of follow-up given
NCT02425891,30345906,Schmid P et al,2018,Breast,Median
NCT02685059,31095287,Loibl S et al,2019,Breast,
NCT01042379,32053137,Nanda R et al,2019,Breast,Median
NCT02425891,31786121,Schmid P et al,2019,Breast,Median
NCT03036488,32101663,Schmid P et al,2020,Breast,Median
NCT03051659,32880602,Tolaney SM et al,2020,Breast,Median
NCT02819518,33278935,Cortes J et al,2020,Breast,Median
NCT03197935,32966830,Mittendorf EA et al,2020,Breast,Median
NCT02924883,33002436,Emens LA et al,2020,Breast,Median
NCT02299999,33462450,Bachelot T et al,2021,Breast,Median
NCT02555657,33676601,Winer PE et al,2021,Breast,Median
