NCT,Author,Year,PubMed ID,Cancer type,Follow-up duration for primary endpoint(s) in months | Overall
NCT00324155,Robert C et al,2011,21639810,Melanoma,
NCT00094653,Hodi FS et al,2010,20525992,Melanoma,
NCT00094653,Hodi FS et al (1),2010,20525992,Melanoma,
NCT00257205,Ribas A et al,2013,23295794,Melanoma,
NCT02362594,Eggermont AMM et al,2018,29658430,Melanoma,15.1
NCT01704287,Ribas A et al,2015,26115796,Melanoma,10.0
NCT01704287,Ribas A et al (1),2015,26115796,Melanoma,10.0
NCT01704287,Hamid O et al,2017,28961465,Melanoma,28.0
NCT01704287,Hamid O et al (1),2017,28961465,Melanoma,28.0
NCT00636168,Eggermont AMM et al,2016,27717298,Melanoma,5.3
NCT01721746,Weber JS et al,2015,25795410,Melanoma,6.0
NCT01721746,Larkin J et al,2018,28671856,Melanoma,24.0
NCT02130466,Ascierto PA et al,2019,31171878,Melanoma,9.6
NCT01721772,Robert C et al,2015,25399552,Melanoma,16.7
NCT01721772,Ascierto PA et al,2019,30422243,Melanoma,38.4
NCT01274338,Tarhini AA et al,2020,31880964,Melanoma,57.4
NCT01274338,Tarhini AA et al (1),2020,31880964,Melanoma,57.4
NCT02523313,Zimmer L et al,2020,32416781,Melanoma,28.4
NCT02523313,Zimmer L et al (1),2020,32416781,Melanoma,28.4
NCT02908672,Gutzmer R et al,2020,32534646,Melanoma,18.9
NCT00094653,McDermott D et al,2013,23942774,Melanoma,
NCT00094653,McDermott D et al (1),2013,23942774,Melanoma,
NCT01721772,Robert C et al,2020,32997575,Melanoma,
NCT02130466,Ferrucci PF et al,2020,33361337,Melanoma,36.6
NCT02362594,Eggermont AMM et al,2020,32946353,Melanoma,36.6
NCT00636168,Eggermont AMM et al,2015,25840693,Melanoma,
