NCT,Author,Year,PubMed ID,Cancer type,Primary endpoint,Secondary endpoint
NCT00324155,Robert C et al,2011,21639810,Melanoma,OS,"PFS, best ORR, DCR, time to response, DOR, safety"
NCT00094653,Hodi FS et al,2010,20525992,Melanoma,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.
NCT00094653,Hodi FS et al (1),2010,20525992,Melanoma,OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.
NCT00257205,Ribas A et al,2013,23295794,Melanoma,OS,PFS; best overall response; duration of response; PFS at 6 months after random assignment; safety.
NCT02362594,Eggermont AMM et al,2018,29658430,Melanoma,PFS,Distant metastasis-free survival; OS; safety measures; measures of health-related quality of life.
NCT01704287,Ribas A et al,2015,26115796,Melanoma,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.
NCT01704287,Ribas A et al (1),2015,26115796,Melanoma,OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.
NCT01704287,Hamid O et al,2017,28961465,Melanoma,OS+PFS,ORR; response duration; safety.
NCT01704287,Hamid O et al (1),2017,28961465,Melanoma,OS+PFS,ORR; response duration; safety.
NCT00636168,Eggermont AMM et al,2016,27717298,Melanoma,PFS,OS; distant metastasis–free survival; safety; health-related quality of life.
NCT01721746,Weber JS et al,2015,25795410,Melanoma,OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.
NCT01721746,Larkin J et al,2018,28671856,Melanoma,OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.
NCT02130466,Ascierto PA et al,2019,31171878,Melanoma,PFS,ORR; duration of response; time to response; OS.
NCT01721772,Robert C et al,2015,25399552,Melanoma,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
NCT01721772,Ascierto PA et al,2019,30422243,Melanoma,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
NCT01274338,Tarhini AA et al,2020,31880964,Melanoma,OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab"
NCT01274338,Tarhini AA et al (1),2020,31880964,Melanoma,OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab"
NCT02523313,Zimmer L et al,2020,32416781,Melanoma,RFS,OS; time to recurrence; safety; PFS or RFS 2.
NCT02523313,Zimmer L et al (1),2020,32416781,Melanoma,RFS,OS; time to recurrence; safety; PFS or RFS 2.
NCT02908672,Gutzmer R et al,2020,32534646,Melanoma,PFS,PFS assessed by independent review committee; ORR; DOR; OS; time to deterioration in global health status and physical function.
NCT00094653,McDermott D et al,2013,23942774,Melanoma,OS,"DOS, responses, and safety among patients with ≥2 years’ survival."
NCT00094653,McDermott D et al (1),2013,23942774,Melanoma,OS,"DOS, responses, and safety among patients with ≥2 years’ survival."
NCT01721772,Robert C et al,2020,32997575,Melanoma,OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
NCT02130466,Ferrucci PF et al,2020,33361337,Melanoma,PFS,ORR; duration of response; time to response; OS
NCT02362594,Eggermont AMM et al,2020,32946353,Melanoma,RFS,
NCT00636168,Eggermont AMM et al,2015,25840693,Melanoma,PFS,OS; distant metastasis–free survival; safety; health-related quality of life.
