NCT,Authors,Year,PMID,Control Arm Category
NCT01668784,Motzer RJ et al,2015,26406148,active
NCT02231749,Motzer RJ et al,2018,29562145,active
NCT02231749,Motzer RJ et al,2019,31427204,active
NCT02684006,Motzer RJ et al,2019,30779531,active
NCT02853331,Rini BI et al,2019,30779529,active
NCT02420821,Rini BI et al,2019,31079938,active
NCT02231749,Motzer RJ et al,2020,32661118,active
NCT01668784,Motzer RJ et al,2020,32673417,active
NCT02684006,Choueiri TK et al,2020,32339648,active
NCT02853331,Powles T et al. ,2020,33284113,active
NCT02811861,Motzer R et al,2021,33616314,active
NCT03141177,Choueiri TK et al,2021,33657295,active
