NCT,Author,Year,PubMed ID,Primary endpoint
NCT02425891,Schmid P et al,2018,30345906,OS+PFS
NCT02685059,Loibl S et al,2019,31095287,Path CR
NCT01042379,Nanda R et al,2019,32053137,Path CR
NCT02425891,Schmid P et al,2019,31786121,OS+PFS
NCT03036488,Schmid P et al,2020,32101663,Path CR+EFS
NCT03051659,Tolaney SM et al,2020,32880602,PFS
NCT02819518,Cortes J et al,2020,33278935,OS+PFS
NCT03197935,Mittendorf EA et al,2020,32966830,Path CR in ITT+Path CR in PD-L1+
NCT02924883,Emens LA et al,2020,33002436,PFS
NCT02299999,Bachelot T et al,2021,33462450,PFS
NCT02555657,Winer PE et al,2021,33676601,OS
