NCT,PMID_x,ici_class,Authors,Year,PMID_y
NCT00527735,22547592,CTLA-4,Lynch TJ et al,2012,22547592
NCT00527735,22547592,CTLA-4,Lynch TJ et al (1),2012,22547592
NCT00527735,22547592,CTLA-4,Reck M et al,2012,22858559
NCT00527735,22547592,CTLA-4,Reck M et al (1),2012,22858559
NCT00527735,22547592,CTLA-4,Lynch TJ et al,2012,22547592
NCT00527735,22547592,CTLA-4,Lynch TJ et al (1),2012,22547592
NCT00527735,22547592,CTLA-4,Reck M et al,2012,22858559
NCT00527735,22547592,CTLA-4,Reck M et al (1),2012,22858559
NCT00527735,22858559,CTLA-4,Lynch TJ et al,2012,22547592
NCT00527735,22858559,CTLA-4,Lynch TJ et al (1),2012,22547592
NCT00527735,22858559,CTLA-4,Reck M et al,2012,22858559
NCT00527735,22858559,CTLA-4,Reck M et al (1),2012,22858559
NCT00527735,22858559,CTLA-4,Lynch TJ et al,2012,22547592
NCT00527735,22858559,CTLA-4,Lynch TJ et al (1),2012,22547592
NCT00527735,22858559,CTLA-4,Reck M et al,2012,22858559
NCT00527735,22858559,CTLA-4,Reck M et al (1),2012,22858559
NCT01673867,26412456,PD-1,Borghaei  H et al,2015,26412456
NCT01642004,26028407,PD-1,Brahmer J et al,2015,26028407
NCT01905657,26712084,PD-1,Herbst RS et al,2016,26712084
NCT01905657,26712084,PD-1,Herbst RS et al (1),2016,26712084
NCT01905657,26712084,PD-1,Herbst RS et al,2016,26712084
NCT01905657,26712084,PD-1,Herbst RS et al (1),2016,26712084
NCT01903993,26970723,PD-L1,Fehrenbacher L et al,2016,26970723
NCT01903993,26970723,PD-L1,Mazieres J et al,2020,33166718
NCT01450761,27458307,CTLA-4,Reck M et al,2016,27458307
NCT02041533,28636851,PD-1,Carbone DP et al,2017,28636851
NCT01285609,28854067,CTLA-4,Govindan R et al,2017,28854067
NCT02125461,28885881,PD-L1,Antonia SJ et al,2017,28885881
NCT02125461,28885881,PD-L1,Antonia SJ et al,2018,30280658
NCT02125461,30280658,PD-L1,Antonia SJ et al,2017,28885881
NCT02125461,30280658,PD-L1,Antonia SJ et al,2018,30280658
NCT02395172,30262187,PD-L1,Barlesi F et al,2018,30262187
NCT02039674,27745820,PD-1,Langer JC et al,2016,27745820
NCT02039674,27745820,PD-1,Borghaei  H et al,2018,30138764
NCT02039674,30138764,PD-1,Langer JC et al,2016,27745820
NCT02039674,30138764,PD-1,Borghaei  H et al,2018,30138764
NCT02008227,27979383,PD-L1,Rittmeyer A et al,2017,27979383
NCT02008227,27979383,PD-L1,Fehrenbacher L et al,2018,29777823
NCT02008227,27979383,PD-L1,Mazieres J et al,2020,33166718
NCT02008227,29777823,PD-L1,Rittmeyer A et al,2017,27979383
NCT02008227,29777823,PD-L1,Fehrenbacher L et al,2018,29777823
NCT02008227,29777823,PD-L1,Mazieres J et al,2020,33166718
NCT02578680,29658856,PD-1,Gandhi L et al,2018,29658856
NCT02763579,30280641,PD-L1,Horn L et al,2018,30280641
NCT02763579,30280641,PD-L1,Mansfield AS et al,2020,31959349
NCT02775435,30280635,PD-1,Paz-Ares L et al,2018,30280635
NCT02366143,29863955,PD-L1,Socinski MA et al,2018,29863955
NCT02366143,29863955,PD-L1,Socinski MA et al (1),2018,29863955
NCT02366143,29863955,PD-L1,Socinski MA et al,2018,29863955
NCT02366143,29863955,PD-L1,Socinski MA et al (1),2018,29863955
NCT02477826,29658845,PD-1,Hellmann MD et al,2018,29658845
NCT02477826,29658845,PD-1,Hellmann MD et al (1),2018,29658845
NCT02477826,29658845,PD-1,Hellmann MD et al,2019,31562796
NCT02477826,29658845,PD-1,Hellmann MD et al (1),2019,31562796
NCT02477826,29658845,PD-1,Hellmann MD et al (2),2019,31562796
NCT02477826,29658845,PD-1,Hellmann MD et al,2018,29658845
NCT02477826,29658845,PD-1,Hellmann MD et al (1),2018,29658845
NCT02477826,29658845,PD-1,Hellmann MD et al,2019,31562796
NCT02477826,29658845,PD-1,Hellmann MD et al (1),2019,31562796
NCT02477826,29658845,PD-1,Hellmann MD et al (2),2019,31562796
NCT02477826,31562796,PD-1,Hellmann MD et al,2018,29658845
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2018,29658845
NCT02477826,31562796,PD-1,Hellmann MD et al,2019,31562796
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2019,31562796
NCT02477826,31562796,PD-1,Hellmann MD et al (2),2019,31562796
NCT02477826,31562796,PD-1,Hellmann MD et al,2018,29658845
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2018,29658845
NCT02477826,31562796,PD-1,Hellmann MD et al,2019,31562796
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2019,31562796
NCT02477826,31562796,PD-1,Hellmann MD et al (2),2019,31562796
NCT02477826,31562796,PD-1,Hellmann MD et al,2018,29658845
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2018,29658845
NCT02477826,31562796,PD-1,Hellmann MD et al,2019,31562796
NCT02477826,31562796,PD-1,Hellmann MD et al (1),2019,31562796
NCT02477826,31562796,PD-1,Hellmann MD et al (2),2019,31562796
NCT02220894,30955977,PD-1,Mok TSK et al,2019,30955977
NCT03059667,30664989,PD-L1,Pujol JL et al,2019,30664989
NCT02142738,30620668,PD-1,Reck M et al,2019,30620668
NCT02142738,30620668,PD-1,Reck M et al,2016,27718847
NCT02367781,31122901,PD-L1,West H et al,2019,31122901
NCT02613507,30659987,PD-1,Wu YL et al,2019,30659987
NCT02454933,30763730,PD-L1,Yang JCH et al,2019,30763730
NCT03043872,31590988,PD-L1,Paz-Ares L et al,2019,31590988
NCT03043872,31590988,PD-L1,Paz-Ares L et al (1),2019,31590988
NCT03043872,31590988,PD-L1,Goldman JW et al,2020,33285097
NCT03043872,31590988,PD-L1,Goldman JW et al (1),2020,33285097
NCT03043872,31590988,PD-L1,Paz-Ares L et al,2019,31590988
NCT03043872,31590988,PD-L1,Paz-Ares L et al (1),2019,31590988
NCT03043872,31590988,PD-L1,Goldman JW et al,2020,33285097
NCT03043872,31590988,PD-L1,Goldman JW et al (1),2020,33285097
NCT02763579,31959349,PD-L1,Horn L et al,2018,30280641
NCT02763579,31959349,PD-L1,Mansfield AS et al,2020,31959349
NCT02352948,32201234,PD-L1,Planchard D et al,2020,32201234
NCT02352948,32201234,PD-L1,Planchard D et al (1),2020,32201234
NCT02352948,32201234,PD-L1,Planchard D et al (2),2020,32201234
NCT02352948,32201234,OTHER/UNKNOWN,Planchard D et al,2020,32201234
NCT02352948,32201234,OTHER/UNKNOWN,Planchard D et al (1),2020,32201234
NCT02352948,32201234,OTHER/UNKNOWN,Planchard D et al (2),2020,32201234
NCT02352948,32201234,PD-L1,Planchard D et al,2020,32201234
NCT02352948,32201234,PD-L1,Planchard D et al (1),2020,32201234
NCT02352948,32201234,PD-L1,Planchard D et al (2),2020,32201234
NCT03066778,32468956,PD-1,Rudin CM et al,2020,32468956
NCT02453282,32271377,PD-L1,Rizvi NA et al,2020,32271377
NCT02453282,32271377,PD-L1,Rizvi NA et al (1),2020,32271377
NCT02453282,32271377,PD-L1,Rizvi NA et al,2020,32271377
NCT02453282,32271377,PD-L1,Rizvi NA et al (1),2020,32271377
NCT02367794,32302702,PD-L1,Jotte R et al,2020,32302702
NCT02367794,32302702,PD-L1,Jotte R et al (1),2020,32302702
NCT02367794,32302702,PD-L1,Jotte R et al,2020,32302702
NCT02367794,32302702,PD-L1,Jotte R et al (1),2020,32302702
NCT02574598,32271354,PD-1,Arrieta O et al,2020,32271354
NCT02142738,27718847,PD-1,Reck M et al,2019,30620668
NCT02142738,27718847,PD-1,Reck M et al,2016,27718847
NCT02409342,32997907,PD-L1,Herbst RS et al.,2020,32997907
NCT03043872,33285097,PD-L1,Paz-Ares L et al,2019,31590988
NCT03043872,33285097,PD-L1,Paz-Ares L et al (1),2019,31590988
NCT03043872,33285097,PD-L1,Goldman JW et al,2020,33285097
NCT03043872,33285097,PD-L1,Goldman JW et al (1),2020,33285097
NCT03043872,33285097,PD-L1,Paz-Ares L et al,2019,31590988
NCT03043872,33285097,PD-L1,Paz-Ares L et al (1),2019,31590988
NCT03043872,33285097,PD-L1,Goldman JW et al,2020,33285097
NCT03043872,33285097,PD-L1,Goldman JW et al (1),2020,33285097
NCT01903993,33166718,PD-L1,Fehrenbacher L et al,2016,26970723
NCT01903993,33166718,PD-L1,Mazieres J et al,2020,33166718
NCT02008227,33166718,PD-L1,Rittmeyer A et al,2017,27979383
NCT02008227,33166718,PD-L1,Fehrenbacher L et al,2018,29777823
NCT02008227,33166718,PD-L1,Mazieres J et al,2020,33166718
NCT03215706,33476593,PD-1,Paz-Ares L et al,2021,33476593
NCT02481830,33539946,PD-1,Spigel DR et al,2021,33539946
NCT02538666,33683919,PD-1,Owonikoko TK et al,2021,33683919
NCT02538666,33683919,PD-1,Owonikoko TK et al,2021,33683919
NCT02538666,33683919,PD-1,Owonikoko TK et al,2021,33683919
NCT02538666,33683919,PD-1,Owonikoko TK et al,2021,33683919
NCT03088540,33581821,PD-1,Sezer A et al,2021,33581821
NCT02852083,33796020,PD-1,Heudobler D et al,2021,33796020
