NCT,PMID_x,primary_endpoint_type,secondary_endpoint_type,Authors,Year,PMID_y
NCT00324155,21639810,primary,secondary,Robert C et al,2011,21639810
NCT00094653,20525992,primary,secondary,Hodi FS et al,2010,20525992
NCT00094653,20525992,primary,secondary,Hodi FS et al (1),2010,20525992
NCT00094653,20525992,primary,secondary,McDermott D et al,2013,23942774
NCT00094653,20525992,primary,secondary,McDermott D et al (1),2013,23942774
NCT00094653,20525992,primary,secondary,Hodi FS et al,2010,20525992
NCT00094653,20525992,primary,secondary,Hodi FS et al (1),2010,20525992
NCT00094653,20525992,primary,secondary,McDermott D et al,2013,23942774
NCT00094653,20525992,primary,secondary,McDermott D et al (1),2013,23942774
NCT00257205,23295794,primary,secondary,Ribas A et al,2013,23295794
NCT02362594,29658430,primary,secondary,Eggermont AMM et al,2018,29658430
NCT02362594,29658430,primary,secondary,Eggermont AMM et al,2020,32946353
NCT01704287,26115796,primary,secondary,Ribas A et al,2015,26115796
NCT01704287,26115796,primary,secondary,Ribas A et al (1),2015,26115796
NCT01704287,26115796,primary,secondary,Hamid O et al,2017,28961465
NCT01704287,26115796,primary,secondary,Hamid O et al (1),2017,28961465
NCT01704287,26115796,primary,secondary,Ribas A et al,2015,26115796
NCT01704287,26115796,primary,secondary,Ribas A et al (1),2015,26115796
NCT01704287,26115796,primary,secondary,Hamid O et al,2017,28961465
NCT01704287,26115796,primary,secondary,Hamid O et al (1),2017,28961465
NCT01704287,28961465,primary,secondary,Ribas A et al,2015,26115796
NCT01704287,28961465,primary,secondary,Ribas A et al (1),2015,26115796
NCT01704287,28961465,primary,secondary,Hamid O et al,2017,28961465
NCT01704287,28961465,primary,secondary,Hamid O et al (1),2017,28961465
NCT01704287,28961465,primary,secondary,Ribas A et al,2015,26115796
NCT01704287,28961465,primary,secondary,Ribas A et al (1),2015,26115796
NCT01704287,28961465,primary,secondary,Hamid O et al,2017,28961465
NCT01704287,28961465,primary,secondary,Hamid O et al (1),2017,28961465
NCT00636168,27717298,primary,secondary,Eggermont AMM et al,2016,27717298
NCT00636168,27717298,primary,secondary,Eggermont AMM et al,2015,25840693
NCT01721746,25795410,primary,secondary,Weber JS et al,2015,25795410
NCT01721746,25795410,primary,secondary,Larkin J et al,2018,28671856
NCT01721746,28671856,primary,secondary,Weber JS et al,2015,25795410
NCT01721746,28671856,primary,secondary,Larkin J et al,2018,28671856
NCT02130466,31171878,primary,secondary,Ascierto PA et al,2019,31171878
NCT02130466,31171878,primary,secondary,Ferrucci PF et al,2020,33361337
NCT01721772,25399552,primary,secondary,Robert C et al,2015,25399552
NCT01721772,25399552,primary,secondary,Ascierto PA et al,2019,30422243
NCT01721772,25399552,primary,secondary,Robert C et al,2020,32997575
NCT01721772,30422243,primary,secondary,Robert C et al,2015,25399552
NCT01721772,30422243,primary,secondary,Ascierto PA et al,2019,30422243
NCT01721772,30422243,primary,secondary,Robert C et al,2020,32997575
NCT01274338,31880964,primary,secondary,Tarhini AA et al,2020,31880964
NCT01274338,31880964,primary,secondary,Tarhini AA et al (1),2020,31880964
NCT01274338,31880964,primary,secondary,Tarhini AA et al,2020,31880964
NCT01274338,31880964,primary,secondary,Tarhini AA et al (1),2020,31880964
NCT02523313,32416781,primary,secondary,Zimmer L et al,2020,32416781
NCT02523313,32416781,primary,secondary,Zimmer L et al (1),2020,32416781
NCT02523313,32416781,primary,secondary,Zimmer L et al,2020,32416781
NCT02523313,32416781,primary,secondary,Zimmer L et al (1),2020,32416781
NCT02908672,32534646,primary,secondary,Gutzmer R et al,2020,32534646
NCT00094653,23942774,primary,secondary,Hodi FS et al,2010,20525992
NCT00094653,23942774,primary,secondary,Hodi FS et al (1),2010,20525992
NCT00094653,23942774,primary,secondary,McDermott D et al,2013,23942774
NCT00094653,23942774,primary,secondary,McDermott D et al (1),2013,23942774
NCT00094653,23942774,primary,secondary,Hodi FS et al,2010,20525992
NCT00094653,23942774,primary,secondary,Hodi FS et al (1),2010,20525992
NCT00094653,23942774,primary,secondary,McDermott D et al,2013,23942774
NCT00094653,23942774,primary,secondary,McDermott D et al (1),2013,23942774
NCT01721772,32997575,primary,secondary,Robert C et al,2015,25399552
NCT01721772,32997575,primary,secondary,Ascierto PA et al,2019,30422243
NCT01721772,32997575,primary,secondary,Robert C et al,2020,32997575
NCT02130466,33361337,primary,secondary,Ascierto PA et al,2019,31171878
NCT02130466,33361337,primary,secondary,Ferrucci PF et al,2020,33361337
NCT02362594,32946353,primary,unknown,Eggermont AMM et al,2018,29658430
NCT02362594,32946353,primary,unknown,Eggermont AMM et al,2020,32946353
NCT00636168,25840693,primary,secondary,Eggermont AMM et al,2016,27717298
NCT00636168,25840693,primary,secondary,Eggermont AMM et al,2015,25840693
