NCT,PMID_x,control_arm_type,Authors,Year,PMID_y
NCT01673867,26412456,active,Borghaei  H et al,2015,26412456
NCT01642004,26028407,active,Brahmer J et al,2015,26028407
NCT01450761,27458307,active,Reck M et al,2016,27458307
NCT02041533,28636851,active,Carbone DP et al,2017,28636851
NCT01285609,28854067,active,Govindan R et al,2017,28854067
NCT02125461,28885881,placebo,Antonia SJ et al,2017,28885881
NCT02125461,28885881,placebo,Antonia SJ et al,2018,30280658
NCT02125461,30280658,placebo,Antonia SJ et al,2017,28885881
NCT02125461,30280658,placebo,Antonia SJ et al,2018,30280658
NCT02395172,30262187,active,Barlesi F et al,2018,30262187
NCT02008227,27979383,active,Rittmeyer A et al,2017,27979383
NCT02008227,27979383,active,Fehrenbacher L et al,2018,29777823
NCT02008227,27979383,active,Mazieres J et al,2020,33166718
NCT02008227,29777823,active,Rittmeyer A et al,2017,27979383
NCT02008227,29777823,active,Fehrenbacher L et al,2018,29777823
NCT02008227,29777823,active,Mazieres J et al,2020,33166718
NCT02578680,29658856,active,Gandhi L et al,2018,29658856
NCT02763579,30280641,placebo,Horn L et al,2018,30280641
NCT02763579,30280641,placebo,Mansfield AS et al,2020,31959349
NCT02775435,30280635,active,Paz-Ares L et al,2018,30280635
NCT02366143,29863955,active,Socinski MA et al,2018,29863955
NCT02366143,29863955,active,Socinski MA et al (1),2018,29863955
NCT02366143,29863955,active,Socinski MA et al,2018,29863955
NCT02366143,29863955,active,Socinski MA et al (1),2018,29863955
NCT02477826,29658845,active,Hellmann MD et al,2018,29658845
NCT02477826,29658845,active,Hellmann MD et al (1),2018,29658845
NCT02477826,29658845,active,Hellmann MD et al,2019,31562796
NCT02477826,29658845,active,Hellmann MD et al (1),2019,31562796
NCT02477826,29658845,active,Hellmann MD et al (2),2019,31562796
NCT02477826,29658845,active,Hellmann MD et al,2018,29658845
NCT02477826,29658845,active,Hellmann MD et al (1),2018,29658845
NCT02477826,29658845,active,Hellmann MD et al,2019,31562796
NCT02477826,29658845,active,Hellmann MD et al (1),2019,31562796
NCT02477826,29658845,active,Hellmann MD et al (2),2019,31562796
NCT02477826,31562796,active,Hellmann MD et al,2018,29658845
NCT02477826,31562796,active,Hellmann MD et al (1),2018,29658845
NCT02477826,31562796,active,Hellmann MD et al,2019,31562796
NCT02477826,31562796,active,Hellmann MD et al (1),2019,31562796
