NCT,PMID_x,control_arm_type,Authors,Year,PMID_y
NCT01668784,26406148,active,Motzer RJ et al,2015,26406148
NCT01668784,26406148,active,Motzer RJ et al,2020,32673417
NCT02231749,29562145,active,Motzer RJ et al,2018,29562145
NCT02231749,29562145,active,Motzer RJ et al,2019,31427204
NCT02231749,29562145,active,Motzer RJ et al,2020,32661118
NCT02231749,31427204,active,Motzer RJ et al,2018,29562145
NCT02231749,31427204,active,Motzer RJ et al,2019,31427204
NCT02231749,31427204,active,Motzer RJ et al,2020,32661118
NCT02684006,30779531,active,Motzer RJ et al,2019,30779531
NCT02684006,30779531,active,Choueiri TK et al,2020,32339648
NCT02853331,30779529,active,Rini BI et al,2019,30779529
NCT02853331,30779529,active,Powles T et al. ,2020,33284113
NCT02420821,31079938,active,Rini BI et al,2019,31079938
NCT02231749,32661118,active,Motzer RJ et al,2018,29562145
NCT02231749,32661118,active,Motzer RJ et al,2019,31427204
NCT02231749,32661118,active,Motzer RJ et al,2020,32661118
NCT01668784,32673417,active,Motzer RJ et al,2015,26406148
NCT01668784,32673417,active,Motzer RJ et al,2020,32673417
NCT02684006,32339648,active,Motzer RJ et al,2019,30779531
NCT02684006,32339648,active,Choueiri TK et al,2020,32339648
NCT02853331,33284113,active,Rini BI et al,2019,30779529
NCT02853331,33284113,active,Powles T et al. ,2020,33284113
NCT02811861,33616314,active,Motzer R et al,2021,33616314
NCT03141177,33657295,active,Choueiri TK et al,2021,33657295
