NCT,PMID_x,primary_endpoint,secondary_endpoint,Authors,Year,PMID_y
NCT02425891,30345906,yes,yes,Schmid P et al,2018,30345906
NCT02425891,30345906,yes,yes,Schmid P et al,2019,31786121
NCT02685059,31095287,yes,yes,Loibl S et al,2019,31095287
NCT01042379,32053137,yes,yes,Nanda R et al,2019,32053137
NCT02425891,31786121,yes,yes,Schmid P et al,2018,30345906
NCT02425891,31786121,yes,yes,Schmid P et al,2019,31786121
NCT03036488,32101663,yes,yes,Schmid P et al,2020,32101663
NCT03051659,32880602,yes,yes,Tolaney SM et al,2020,32880602
NCT02819518,33278935,yes,yes,Cortes J et al,2020,33278935
NCT03197935,32966830,yes,yes,Mittendorf EA et al,2020,32966830
NCT02924883,33002436,yes,yes,Emens LA et al,2020,33002436
NCT02299999,33462450,yes,yes,Bachelot T et al,2021,33462450
NCT02555657,33676601,yes,yes,Winer PE et al,2021,33676601
