NCT,PMID_x,irAE_assessed,Authors,Year,PMID_y
NCT02252042,30509740,False,Cohen EEW et al,2018,30509740
NCT02105636,27718784,False,Ferris RL et al,2016,27718784
NCT02105636,27718784,False,Ferris RL et al,2018,29884413
NCT02105636,29884413,False,Ferris RL et al,2016,27718784
NCT02105636,29884413,False,Ferris RL et al,2018,29884413
NCT02358031,31679945,False,Burtness B et al,2019,31679945
NCT02358031,31679945,False,Burtness B et al (1),2019,31679945
NCT02358031,31679945,False,Burtness B et al,2019,31679945
NCT02358031,31679945,False,Burtness B et al (1),2019,31679945
NCT02017717,32437507,False,Reardon DA et al,2020,32437507
NCT02369874,32294530,False,Ferris RL et al,2020,32294530
NCT02369874,32294530,False,Ferris RL et al (1),2020,32294530
NCT02369874,32294530,False,Ferris RL et al,2020,32294530
NCT02369874,32294530,False,Ferris RL et al (1),2020,32294530
NCT02952586,33794205,False,Lee NY et al,2021,33794205
NCT02999087,33125944,False,Tao Y et al.,2021,33125944
