NCT,PMID,follow_up_months_num,Authors,Year
NCT00324155,21639810,,Robert C et al,2011
NCT00094653,20525992,,Hodi FS et al,2010
NCT00094653,20525992,,Hodi FS et al (1),2010
NCT00094653,20525992,,McDermott D et al,2013
NCT00094653,20525992,,McDermott D et al (1),2013
NCT00094653,20525992,,Hodi FS et al,2010
NCT00094653,20525992,,Hodi FS et al (1),2010
NCT00094653,20525992,,McDermott D et al,2013
NCT00094653,20525992,,McDermott D et al (1),2013
NCT00257205,23295794,,Ribas A et al,2013
NCT02362594,29658430,15.1,Eggermont AMM et al,2018
NCT02362594,29658430,15.1,Eggermont AMM et al,2020
NCT01704287,26115796,10.0,Ribas A et al,2015
NCT01704287,26115796,10.0,Ribas A et al (1),2015
NCT01704287,26115796,10.0,Hamid O et al,2017
NCT01704287,26115796,10.0,Hamid O et al (1),2017
NCT01704287,26115796,10.0,Ribas A et al,2015
NCT01704287,26115796,10.0,Ribas A et al (1),2015
NCT01704287,26115796,10.0,Hamid O et al,2017
NCT01704287,26115796,10.0,Hamid O et al (1),2017
NCT01704287,28961465,28.0,Ribas A et al,2015
NCT01704287,28961465,28.0,Ribas A et al (1),2015
NCT01704287,28961465,28.0,Hamid O et al,2017
NCT01704287,28961465,28.0,Hamid O et al (1),2017
NCT01704287,28961465,28.0,Ribas A et al,2015
NCT01704287,28961465,28.0,Ribas A et al (1),2015
NCT01704287,28961465,28.0,Hamid O et al,2017
NCT01704287,28961465,28.0,Hamid O et al (1),2017
NCT00636168,27717298,5.3,Eggermont AMM et al,2016
NCT00636168,27717298,5.3,Eggermont AMM et al,2015
NCT01721746,25795410,6.0,Weber JS et al,2015
NCT01721746,25795410,6.0,Larkin J et al,2018
NCT01721746,28671856,24.0,Weber JS et al,2015
NCT01721746,28671856,24.0,Larkin J et al,2018
NCT02130466,31171878,9.6,Ascierto PA et al,2019
NCT02130466,31171878,9.6,Ferrucci PF et al,2020
NCT01721772,25399552,16.7,Robert C et al,2015
NCT01721772,25399552,16.7,Ascierto PA et al,2019
NCT01721772,25399552,16.7,Robert C et al,2020
NCT01721772,30422243,38.4,Robert C et al,2015
NCT01721772,30422243,38.4,Ascierto PA et al,2019
NCT01721772,30422243,38.4,Robert C et al,2020
NCT01274338,31880964,57.4,Tarhini AA et al,2020
NCT01274338,31880964,57.4,Tarhini AA et al (1),2020
NCT01274338,31880964,57.4,Tarhini AA et al,2020
NCT01274338,31880964,57.4,Tarhini AA et al (1),2020
NCT02523313,32416781,28.4,Zimmer L et al,2020
NCT02523313,32416781,28.4,Zimmer L et al (1),2020
NCT02523313,32416781,28.4,Zimmer L et al,2020
NCT02523313,32416781,28.4,Zimmer L et al (1),2020
NCT02908672,32534646,18.9,Gutzmer R et al,2020
NCT00094653,23942774,,Hodi FS et al,2010
NCT00094653,23942774,,Hodi FS et al (1),2010
NCT00094653,23942774,,McDermott D et al,2013
NCT00094653,23942774,,McDermott D et al (1),2013
NCT00094653,23942774,,Hodi FS et al,2010
NCT00094653,23942774,,Hodi FS et al (1),2010
NCT00094653,23942774,,McDermott D et al,2013
NCT00094653,23942774,,McDermott D et al (1),2013
NCT01721772,32997575,,Robert C et al,2015
NCT01721772,32997575,,Ascierto PA et al,2019
NCT01721772,32997575,,Robert C et al,2020
NCT02130466,33361337,36.6,Ascierto PA et al,2019
NCT02130466,33361337,36.6,Ferrucci PF et al,2020
NCT02362594,32946353,36.6,Eggermont AMM et al,2018
NCT02362594,32946353,36.6,Eggermont AMM et al,2020
NCT00636168,25840693,,Eggermont AMM et al,2016
NCT00636168,25840693,,Eggermont AMM et al,2015
