nct,authors,year
NCT01285609,Govindan R et al,2017
NCT01642004,Brahmer J et al,2015
NCT01673867,Borghaei  H et al,2015
NCT02008227,Rittmeyer A et al,2017
NCT02041533,Carbone DP et al,2017
NCT02125461,Antonia SJ et al,2017
NCT02142738,Reck M et al,2016
NCT02220894,Mok TSK et al,2019
NCT02352948,Planchard D et al,2020
NCT02366143,Socinski MA et al,2018
NCT02367781,West H et al,2019
NCT02367794,Jotte R et al,2020
NCT02395172,Barlesi F et al,2018
NCT02409342,Herbst RS et al.,2020
NCT02453282,Rizvi NA et al,2020
NCT02454933,Yang JCH et al,2019
NCT02477826,Hellmann MD et al,2018
NCT02578680,Gandhi L et al,2018
NCT02613507,Wu YL et al,2019
NCT02775435,Paz-Ares L et al,2018
NCT03088540,Sezer A et al,2021
NCT03215706,Paz-Ares L et al,2021
