nct,icitargetclass
NCT01285609,CTLA-4
NCT01642004,PD-1
NCT01673867,PD-1
NCT01903993,PD-L1
NCT01905657,PD-1
NCT02008227,PD-L1
NCT02039674,PD-1
NCT02041533,PD-1
NCT02125461,PD-L1
NCT02142738,PD-1
NCT02220894,PD-1
NCT02352948,PD-L1
NCT02366143,PD-L1
NCT02367781,PD-L1
NCT02367794,PD-L1
NCT02395172,PD-L1
NCT02409342,PD-L1
NCT02453282,PD-L1
NCT02454933,PD-L1
NCT02477826,PD-1 + CTLA-4
NCT02574598,PD-1
NCT02578680,PD-1
NCT02613507,PD-1
NCT02775435,PD-1
NCT02852083,PD-1
NCT03088540,PD-1
NCT03215706,PD-1 + CTLA-4
