Question Number,Query,Ground Truth JSON
1,Display the trial phases and study names for all research using atezolizumab as a monotherapy.,"{
  ""selected_filter"": {
    ""ICI Name"": ""Atezolizumab"",
    ""Type of Therapy"": ""Monotherapy""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Trial phase"",
    ""Column 7"": ""Study name"",
    ""Column 8"": ""Name of ICI"",
    ""Column 9"": ""Monotherapy/combination""
  }
}"
2,List the primary endpoints and control regimens for Phase 3 trials involving Non-Small Cell Lung Cancer.,"{
  ""selected_filter"": {
    ""Trial Phase"": ""Phase 3"",
    ""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Primary endpoint"",
    ""Column 7"": ""Control regimen"",
    ""Column 8"": ""Trial phase"",
    ""Column 9"": ""Cancer type""
  }
}"
3,Show the authors and years of publication for studies where the ICI is combined with chemotherapy in bladder cancer patients.,"{
  ""selected_filter"": {
    ""Type of combination (Treatment Arm)"": ""ICI + Chemo"",
    ""Cancer Type"": ""Bladder""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Type of combination"",
    ""Column 7"": ""Cancer type""
  }
}"
4,What are the total sample sizes and treatment regimens for studies involving PD-L1 inhibitors in the adjuvant setting?,"{
  ""selected_filter"": {
    ""ICI Class"": ""PD-L1"",
    ""Clinical Setting"": ""Adjuvant""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Total sample size"",
    ""Column 7"": ""Treatment regimen"",
    ""Column 8"": ""Class of ICI"",
    ""Column 9"": ""Clinical setting in relation to surgery""
  }
}"
5,List the specific names of ICIs and their classes used in original publications for Head and Neck cancer.,"{
  ""selected_filter"": {
    ""Type of Study"": ""Original publication"",
    ""Cancer Type"": ""Head and Neck (HNSCC)""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Name of ICI"",
    ""Column 7"": ""Class of ICI"",
    ""Column 8"": ""Cancer type""
  }
}"
6,Show me the control arm types and primary endpoints for trials where ipilimumab was used.,"{
  ""selected_filter"": {
    ""ICI Name"": ""Ipilimumab""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Type of control"",
    ""Column 7"": ""Primary endpoint"",
    ""Column 8"": ""Name of ICI""
  }
}"
7,Find the lines of treatment and clinical settings for hepatocellular carcinoma trials using combination therapy.,"{
  ""selected_filter"": {
    ""Cancer Type"": ""Hepatocellular carcinoma (HCC)"",
    ""Type of Therapy"": ""Combination Therapy""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Lines of treatment"",
    ""Column 7"": ""Clinical setting in relation to surgery"",
    ""Column 8"": ""Cancer type"",
    ""Column 9"": ""Monotherapy/combination""
  }
}"
8,List the treatment regimens and follow-up durations for trials where the primary endpoint was Overall Survival (OS).,"{
  ""selected_filter"": {
    ""Primary Endpoint"": ""OS (Overall Survival)""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Treatment regimen"",
    ""Column 7"": ""Follow-up duration for primary endpoint(s) in months"",
    ""Column 8"": ""Primary endpoint""
  }
}"
9,Show the NCT IDs and years for trials included in the meta-analysis that focused on melanoma.,"{
  ""selected_filter"": {
    ""Included in MA"": ""Yes"",
    ""Cancer Type"": ""Melanoma""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Cancer type""
  }
}"
10,What are the secondary endpoints and types of follow-up for Phase 2 trials using PD-1 inhibitors?,"{
  ""selected_filter"": {
    ""Trial Phase"": ""Phase 2"",
    ""ICI Class"": ""PD-1""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Secondary endpoint"",
    ""Column 7"": ""Type of follow-up given"",
    ""Column 8"": ""Trial phase"",
    ""Column 9"": ""Class of ICI""
  }
}"
