NCT,PMID,Authors,Year,Original/Follow Up,Study name,Trial phase,Number of arms,Originial publication or Follow-up,Cancer type,Treatment regimen,Name of ICI,Class of ICI,Monotherapy/combination,Type of combination,Control regimen,Type of control,Total sample size,Lines of treatment,Clincal setting in relation to surgery,Is PD-L1 positivity inclusion criteria,Is any other biomarker used for inclusion,Primary endpoint,"Priamry Multiple, composite, or co-primary endpoints?",Secondary endpoint,Type of follow-up given,Follow-up duration for primary endpoint(s) in months,Overall,Rx,Control
NCT00094653,20525992,F Stephen Hodi et al,2010,original,MDX010-20,Phase 3,3,Original publication,Melanoma,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,NA,Gp100 vaccine,Vaccine,676,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,Yes,OS,NA,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,Median,,,,
NCT00094653,20525992,F Stephen Hodi et al*,2010,original,MDX010-20,Phase 3,3,Original publication,Melanoma,Ipilimumab+Gp100 Vaccine,Ipilimumab,CTLA-4,Combination,ICI+Vaccine,Gp100 vaccine,Vaccine,676,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,Yes,OS,NA,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,Median,,,,
NCT00324155,21639810,Caroline Robert et al,2011,original,NA,Phase 3,2,Original publication,Melanoma,Ipilimumab+Dacarbazine,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Dacarbazine,Chemo,502,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS,NA,"PFS, best ORR, DCR, time to response, DOR, safety",NA,,,,
NCT00527735,22547592,Thomas J Lynch et al,2012,original,NA,Phase 2,3,Original publication,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,204,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,PFS,NA,Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate; immune-related disease control rate; modified WHO criteria disease control rate,NA,,,,
NCT00527735,22547592,Thomas J Lynch et al*,2012,original,NA,Phase 2,3,Original publication,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,204,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,PFS,NA,Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate; immune-related disease control rate; modified WHO criteria disease control rate,NA,,,,
NCT00527735,22858559,M Reck et al,2013,followup,NA,Phase 2,3,Original publication,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,130,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,NA,NA,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR); modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",Minimum,,,,
NCT00527735,22858559,M Reck et al*,2013,followup,NA,Phase 2,3,Original publication,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,130,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,NA,NA,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR); modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",Minimum,,,,
NCT00257205,23295794,Antoni Ribas et al,2013,original,NA,Phase 3,2,Original publication,Melanoma,Tremelimumab,Tremelimumab,CTLA-4,Monotherapy,NA,Temozolomide/dacarbazine,Chemo,655,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,No,OS,NA,PFS; best overall response; duration of response; PFS at 6 months after random assignment; safety.,NA,,,,
NCT00094653,23942774,McDermott D et al,2013,followup,MDX010-20,Phase 3,3,Follow-up,Melanoma,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,NA,Gp100 vaccine,Vaccine,676,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,Yes,OS,NA,"DOS, responses, and safety among patients with ≥2 years’ survival.",Minimum,,,,
NCT00094653,23942774,McDermott D et al*,2013,followup,MDX010-20,Phase 3,3,Follow-up,Melanoma,Ipilimumab+Gp100 Vaccine,Ipilimumab,CTLA-4,Combination,ICI+Vaccine,Gp100 vaccine,Vaccine,676,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),No,Yes,OS,NA,"DOS, responses, and safety among patients with ≥2 years’ survival.",Minimum,,,,
